date,SP500,NYSE,NASDAQ,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
2011-08-01,-0.05846750227195674,-0.07064133025794739,-0.06633812256115501,0.100097,0.082606,0.047503,0.035711,0.020564,0.003605,0.001945,0.000231,8.3e-05,0.002758
2011-09-01,-0.07446710071978657,-0.10298732360111629,-0.06571519512901958,0.138029,0.072288,0.029468,0.009159,0.002422,-0.001143,-0.001243,8e-06,-1e-06,0.001518
2011-10-01,0.10230659176938861,0.10762426264033031,0.10559606735265081,-0.037082,-0.022895,-0.012101,-0.005505,0.000677,0.001335,0.00065,2.5e-05,1.4e-05,-0.002063
2011-11-01,-0.005071553722512334,-0.010483949356382638,-0.024156817893581817,0.021636,0.016038,0.008685,0.005789,0.002623,0.000186,0.000291,6e-06,4e-06,-0.000844
2011-12-01,0.008496565407114964,-0.0009985897928608267,-0.005813896251906314,0.034102,0.027565,0.019019,0.014868,0.006518,0.000491,-0.000495,-9e-06,0.0,-0.002467
2012-01-01,0.04266004446780691,0.04720930994260719,0.07705991211085905,-0.005795,0.000123,0.008827,0.010223,0.007973,0.000864,0.00045,-4.8e-05,-2e-06,0.0044
2012-02-01,0.039787344672045144,0.03445238849255183,0.052964100182015805,-0.024496,-0.020789,-0.010592,-0.007426,-0.005721,-0.001303,-0.000635,1.8e-05,3.1e-05,0.004403
2012-03-01,0.030851475632995395,0.011481557213919302,0.04116484467324977,-0.044988,-0.035932,-0.019458,-0.011703,-0.007109,-0.000274,-0.000285,8.8e-05,4.6e-05,0.007595
2012-04-01,-0.0075256995449883846,-0.010764490086884848,-0.014731604062774295,0.047272,0.04163,0.028413,0.021896,0.012062,0.002289,0.000716,3.6e-05,2.9e-05,0.003021
2012-05-01,-0.0646993081586249,-0.08412829190209159,-0.07461109913704078,0.098554,0.082921,0.03144,0.022031,0.00839,0.00029,0.000108,0.000175,6.5e-05,-0.001173
2012-06-01,0.03879271987370014,0.04427348404429665,0.037388134144360485,-0.019824,-0.016865,-0.006625,-0.004542,-0.001385,-0.000607,-0.000491,9.5e-05,2.2e-05,-0.001466
2012-07-01,0.01251888494028286,0.007926920550925587,0.0015218038133086864,0.044671,0.03525,0.015792,0.010579,0.008221,0.002624,0.001154,0.000102,3.2e-05,-0.00163
2012-08-01,0.019570609701871078,0.019019570495032667,0.0424405208902634,-0.019212,-0.012587,-0.002442,-0.000892,0.001074,-0.000251,-0.000172,0.000123,5e-05,0.005565
2012-09-01,0.02394711879625433,0.0290283307915562,0.01593710134726045,-0.028056,-0.020368,-0.006372,-0.001414,0.000245,1.9e-05,0.000157,0.000109,6.7e-05,0.004462
2012-10-01,-0.0199878423580504,-0.0035938467413920705,-0.04563060012246378,-0.003986,-0.002611,-0.002909,-0.004347,-0.003651,-0.000574,8e-05,6.7e-05,3.7e-05,-0.000389
